Date,XLF,XLE,XLB,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-03,11.090900421142578,6.655919075012207,7.228259086608887,18.074872970581055,20.62638282775879,12.13881778717041,5.513054370880127,20.440744400024414,11.151029586791992
2000-01-04,10.606050491333008,6.530630588531494,7.158672332763672,17.575519561767578,19.579954147338867,11.796998023986816,5.346754550933838,19.976900100708008,10.815574645996094
2000-01-05,10.522720336914062,6.702900409698486,7.454410076141357,17.4971923828125,19.289274215698242,12.005434036254883,5.4816789627075195,19.797693252563477,10.682555198669434
2000-01-06,10.984838485717773,6.961308479309082,7.645772457122803,17.732177734375,18.6497859954834,12.230531692504883,5.472264766693115,19.860939025878906,10.804004669189453
2000-01-07,11.166664123535156,7.035694599151611,7.641425132751465,18.407785415649414,18.975341796875,13.005882263183594,5.51932954788208,20.103408813476562,11.312973976135254
2000-01-10,10.969690322875977,6.9769673347473145,7.615330219268799,18.407785415649414,19.696224212646484,12.714083671569824,5.538158893585205,22.159069061279297,11.255141258239746
2000-01-11,10.787873268127441,6.984797477722168,7.5239996910095215,18.172800064086914,19.13812255859375,12.714083671569824,5.478541851043701,21.568727493286133,11.191518783569336
2000-01-12,10.999993324279785,6.953475475311279,7.415266036987305,17.957374572753906,19.056734085083008,12.780777931213379,5.422060966491699,21.21030616760254,11.127896308898926
2000-01-13,11.33332347869873,7.074852466583252,7.445713520050049,18.300073623657227,19.231142044067383,12.847478866577148,5.371857643127441,21.842824935913086,11.185734748840332
2000-01-14,11.598483085632324,7.031782150268555,7.393524169921875,18.172800064086914,19.672962188720703,12.889162063598633,5.415785312652588,21.65306282043457,11.156814575195312
2000-01-18,11.212111473083496,7.117914199829102,7.215212821960449,18.153209686279297,19.777606964111328,12.672399520874023,5.393822193145752,21.252473831176758,11.093192100524902
2000-01-19,11.174238204956055,7.094423294067383,7.0760369300842285,18.09446144104004,19.812498092651367,12.7641019821167,5.396957874298096,21.75848388671875,11.070055961608887
2000-01-20,10.969690322875977,7.094423294067383,6.889023780822754,17.97695541381836,19.92876625061035,12.589024543762207,5.422060966491699,21.589815139770508,10.919683456420898
2000-01-21,10.833329200744629,7.29018497467041,6.919471263885498,17.751754760742188,19.95201873779297,12.447291374206543,5.597776412963867,21.547637939453125,10.694117546081543
2000-01-24,10.636360168457031,7.031782150268555,6.736805438995361,17.24260711669922,19.300899505615234,12.088798522949219,5.522469520568848,20.904590606689453,10.29504108428955
2000-01-25,10.749992370605469,7.016118049621582,6.610683441162109,17.144699096679688,19.713661193847656,11.93873405456543,5.393822193145752,21.052173614501953,10.358660697937012
2000-01-26,11.151508331298828,6.906492710113525,6.610683441162109,17.281770706176758,19.068359375,12.047107696533203,5.368719577789307,20.957304000854492,10.433854103088379
2000-01-27,11.272716522216797,6.765544414520264,6.645473480224609,17.379690170288086,18.8823299407959,12.27221393585205,5.334202766418457,20.83079719543457,10.404932975769043
2000-01-28,10.878779411315918,6.687239646911621,6.53239631652832,16.919498443603516,18.207965850830078,12.17216968536377,5.305962562561035,20.409122467041016,9.994288444519043
2000-01-31,11.181812286376953,6.843849182128906,6.493252277374268,17.036991119384766,18.812570571899414,12.397270202636719,5.550710201263428,20.31424331665039,10.069472312927246
2000-02-01,11.242414474487305,6.828187465667725,6.610683441162109,16.919498443603516,19.207883834838867,12.27221393585205,5.50991678237915,20.577791213989258,10.433854103088379
2000-02-02,11.128780364990234,6.871256351470947,6.641124248504639,16.929275512695312,19.347414016723633,12.297222137451172,5.4816789627075195,21.083812713623047,10.364444732666016
2000-02-03,11.060603141784668,6.789034843444824,6.528049468994141,16.919498443603516,19.9055118560791,12.130483627319336,5.472264766693115,21.27356719970703,10.404932975769043
2000-02-04,10.946958541870117,6.593271255493164,6.519350528717041,16.988040924072266,20.13804817199707,12.122154235839844,5.444024562835693,21.347349166870117,10.387579917907715
2000-02-07,10.833329200744629,6.667662143707275,6.393222332000732,16.694286346435547,20.370594024658203,12.105476379394531,5.428337097167969,20.999469757080078,10.167798042297363
2000-02-08,10.954536437988281,6.60893440246582,6.37582540512085,16.76283073425293,20.556617736816406,12.255542755126953,5.440887451171875,21.231388092041016,10.399148941040039
2000-02-09,10.6969633102417,6.389678955078125,6.2497053146362305,16.586585998535156,20.300832748413086,12.1471586227417,5.440887451171875,20.85187339782715,10.225635528564453
2000-02-10,10.401510238647461,6.522797107696533,6.197515964508057,16.302644729614258,20.783348083496094,11.738643646240234,5.362442970275879,20.672670364379883,10.133099555969238
2000-02-11,10.424235343933105,6.444491386413574,6.045289516448975,15.959948539733887,20.231061935424805,11.513538360595703,5.268311500549316,20.683212280273438,9.98850154876709
2000-02-14,10.515145301818848,6.546291351318359,6.145323753356934,16.214513778686523,20.242700576782227,11.571901321411133,5.274582862854004,20.30369758605957,10.040552139282227
2000-02-15,10.530298233032227,6.8203582763671875,6.410618782043457,16.49846649169922,20.300832748413086,11.830353736877441,5.262032985687256,20.145566940307617,10.063692092895508
2000-02-16,10.310602188110352,6.851675510406494,6.262750625610352,16.459299087524414,20.196191787719727,11.663603782653809,5.2400689125061035,19.57630729675293,9.670393943786621
2000-02-17,10.181812286376953,6.843849182128906,6.2497053146362305,16.52784538269043,20.64964485168457,11.488530158996582,5.208690643310547,19.565767288208008,9.392780303955078
2000-02-18,9.818182945251465,6.644166946411133,6.0583415031433105,16.16556167602539,19.95201873779297,11.35513687133789,5.017287731170654,19.02813148498535,9.253968238830566
2000-02-22,9.909087181091309,6.585439682006836,6.2497053146362305,16.429912567138672,19.9055118560791,11.538548469543457,4.9984612464904785,18.89108657836914,9.277105331420898
2000-02-23,9.871209144592285,6.413170337677002,6.180117607116699,16.302644729614258,20.510112762451172,11.28843879699707,4.894916534423828,19.18625831604004,9.248188972473145
2000-02-24,9.666659355163574,6.342696189880371,5.958309650421143,16.155757904052734,20.76590919494629,11.054994583129883,4.731751441955566,19.03866958618164,8.953214645385742
2000-02-25,9.606056213378906,6.217411994934082,5.862630367279053,15.871811866760254,20.56825065612793,10.779879570007324,4.7066497802734375,18.448331832885742,8.9879150390625
2000-02-28,9.91666316986084,6.405344009399414,5.880026340484619,15.920775413513184,20.32408332824707,10.988300323486328,4.84157657623291,18.77511978149414,9.311803817749023
2000-02-29,9.984841346740723,6.554121971130371,5.840883731842041,16.097017288208008,20.789167404174805,10.94662094116211,4.876089572906494,18.985960006713867,9.508456230163574
2000-03-01,10.12120246887207,6.718559741973877,5.779997825622559,16.00889778137207,20.99845314025879,10.846572875976562,5.0894575119018555,19.144086837768555,9.398561477661133
2000-03-02,10.06059741973877,6.843849182128906,5.653872013092041,16.067649841308594,21.207740783691406,10.871580123901367,5.221244812011719,19.05976676940918,9.386991500854492
2000-03-03,10.151514053344727,6.734219551086426,5.836533546447754,16.50825309753418,21.794906616210938,10.813220977783203,5.268311500549316,19.323299407958984,9.560500144958496
2000-03-06,10.053024291992188,6.695069313049316,5.697364330291748,16.439716339111328,21.760028839111328,10.554771423339844,5.120833396911621,18.94379425048828,9.334943771362305
2000-03-07,9.749992370605469,7.157068252563477,5.514698505401611,15.783690452575684,21.161235809326172,9.987850189208984,5.061217308044434,18.595918655395508,9.074676513671875
2000-03-08,9.636358261108398,7.039613723754883,5.632126331329346,15.95014476776123,21.533288955688477,10.296324729919434,5.095731735229492,18.50103187561035,9.184564590454102
2000-03-09,9.689390182495117,7.047442436218262,5.623429298400879,16.11660385131836,22.184410095214844,10.571447372436523,5.136525630950928,18.933252334594727,9.36964225769043
2000-03-10,9.719694137573242,6.953475475311279,5.671267986297607,16.155757904052734,22.23090934753418,10.446391105651855,5.136525630950928,18.77511978149414,9.242405891418457
2000-03-13,9.818182945251465,6.851675510406494,5.758251667022705,15.910980224609375,21.90536880493164,10.279644966125488,5.152210235595703,18.63807487487793,9.16721248626709
